ts=20:24:25 | fn=TTI | prompt="dog sleeping on a hill" | seed=4444 | cfg=1
ts=20:26:21 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:26:22 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=4444 | cfg=5
ts=20:26:22 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=5555 | cfg=5
ts=20:26:22 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=1234 | cfg=13
ts=20:26:22 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=13
ts=20:26:23 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=3333 | cfg=1
ts=20:26:23 | fn=TTI | prompt="cartoon dog sleeping on a hill" | seed=2222 | cfg=1
ts=20:34:00 | fn=TTI | prompt="dog running on water" | seed=1234 | cfg=13
ts=20:34:15 | fn=TTI | prompt="dog running on water" | seed=1234 | cfg=13
ts=20:34:19 | fn=TTI | prompt="dog running on water" | seed=1234 | cfg=13
ts=20:34:19 | fn=TTI | prompt="dog running on water" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt="DIVERGENTS on a desert" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt="DIVERGENTS on a river" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt="DIVERGENTS on a mountain" | seed=1234 | cfg=13
ts=20:36:30 | fn=TTI | prompt="DIVERGENTS on a valley" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt="DIVERGENTS on a ocean" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:36:31 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:36:53 | fn=DIVERGENTS | prompt="divergent words to "#REF!"" | length=4
ts=20:36:55 | fn=TTI | prompt="#N/A on a ocean" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#N/A on a river" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#N/A on a desert" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#NUM! on a ocean" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#NAME? on a valley" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#NAME? on a desert" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#VALUE! on a river" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#NAME? on a river" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#N/A on a mountain" | seed=1234 | cfg=13
ts=20:36:55 | fn=TTI | prompt="#NUM! on a mountain" | seed=1234 | cfg=13
ts=20:36:59 | fn=TTI | prompt="#NAME? on a mountain" | seed=1234 | cfg=13
ts=20:36:59 | fn=TTI | prompt="#VALUE! on a desert" | seed=1234 | cfg=13
ts=20:36:59 | fn=TTI | prompt="#NAME? on a ocean" | seed=1234 | cfg=13
ts=20:36:59 | fn=TTI | prompt="#NUM! on a desert" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#VALUE! on a mountain" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#N/A on a valley" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#VALUE! on a valley" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#NUM! on a valley" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#VALUE! on a ocean" | seed=1234 | cfg=13
ts=20:37:00 | fn=TTI | prompt="#NUM! on a river" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt="horse on a valley" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt="horse on a ocean" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt="horse on a mountain" | seed=1234 | cfg=13
ts=20:37:05 | fn=DIVERGENTS | prompt="divergent words to "horse"" | length=4
ts=20:37:05 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=20:37:05 | fn=TTI | prompt="horse on a desert" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a river" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt="horse on a river" | seed=1234 | cfg=13
ts=20:37:06 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=13
ts=20:37:12 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=13
ts=20:37:16 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=13
ts=20:37:16 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:37:16 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=13
ts=20:37:16 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=13
ts=20:37:17 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:39:22 | fn=TTI | prompt="horse on a mountain" | seed=1234 | cfg=10
ts=20:39:27 | fn=TTI | prompt="horse on a valley" | seed=1234 | cfg=10
ts=20:39:27 | fn=TTI | prompt="horse on a desert" | seed=1234 | cfg=10
ts=20:39:27 | fn=TTI | prompt="horse on a river" | seed=1234 | cfg=10
ts=20:39:27 | fn=TTI | prompt="horse on a ocean" | seed=1234 | cfg=10
ts=20:39:36 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=13
ts=20:39:36 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=13
ts=20:39:37 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=13
ts=20:39:37 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=13
ts=20:39:37 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=13
ts=20:39:41 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=13
ts=20:39:41 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=13
ts=20:39:41 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=13
ts=20:39:41 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=13
ts=20:39:42 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=13
ts=20:39:42 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=13
ts=20:39:42 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=13
ts=20:39:42 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=13
ts=20:39:42 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=13
ts=20:39:43 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=13
ts=20:39:44 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:39:44 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:39:44 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:39:44 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:39:44 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:40:02 | fn=TTI | prompt="horse on a desert" | seed=1234 | cfg=20
ts=20:40:02 | fn=TTI | prompt="horse on a mountain" | seed=1234 | cfg=20
ts=20:40:02 | fn=TTI | prompt="horse on a valley" | seed=1234 | cfg=20
ts=20:40:02 | fn=TTI | prompt="horse on a river" | seed=1234 | cfg=20
ts=20:40:03 | fn=TTI | prompt="horse on a ocean" | seed=1234 | cfg=20
ts=20:40:08 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=13
ts=20:40:08 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=13
ts=20:40:08 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=13
ts=20:40:08 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=13
ts=20:40:08 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=13
ts=20:40:09 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=13
ts=20:40:10 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:40:10 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:40:10 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:40:10 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:40:10 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:40:15 | fn=TTI | prompt="horse on a desert" | seed=1234 | cfg=1
ts=20:40:15 | fn=TTI | prompt="horse on a valley" | seed=1234 | cfg=1
ts=20:40:15 | fn=TTI | prompt="horse on a mountain" | seed=1234 | cfg=1
ts=20:40:15 | fn=TTI | prompt="horse on a river" | seed=1234 | cfg=1
ts=20:40:16 | fn=TTI | prompt="horse on a ocean" | seed=1234 | cfg=1
ts=20:40:21 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=13
ts=20:40:21 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=13
ts=20:40:21 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=13
ts=20:40:21 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=13
ts=20:40:22 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:40:23 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:41:23 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=1
ts=20:41:23 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=1
ts=20:41:23 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=1
ts=20:41:23 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=1
ts=20:41:23 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=1
ts=20:41:28 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=13
ts=20:41:28 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=13
ts=20:41:28 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=13
ts=20:41:28 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=13
ts=20:41:28 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:41:29 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:41:30 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:41:30 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:41:33 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=1
ts=20:41:33 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=1
ts=20:41:33 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=1
ts=20:41:33 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=1
ts=20:41:33 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=1
ts=20:41:39 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=1
ts=20:41:39 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=1
ts=20:41:39 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=1
ts=20:41:39 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=1
ts=20:41:39 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=1
ts=20:41:45 | fn=TTI | prompt="horse on a desert" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="zebra on a river" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="camel on a desert" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="zebra on a desert" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="camel on a ocean" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="zebra on a valley" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="horse on a mountain" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="horse on a ocean" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="horse on a valley" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="llama on a mountain" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="llama on a ocean" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="camel on a valley" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="llama on a valley" | seed=1234 | cfg=10
ts=20:41:45 | fn=TTI | prompt="llama on a river" | seed=1234 | cfg=10
ts=20:41:49 | fn=TTI | prompt="camel on a river" | seed=1234 | cfg=10
ts=20:41:49 | fn=TTI | prompt="zebra on a mountain" | seed=1234 | cfg=10
ts=20:41:49 | fn=TTI | prompt="zebra on a ocean" | seed=1234 | cfg=10
ts=20:41:49 | fn=TTI | prompt="llama on a desert" | seed=1234 | cfg=10
ts=20:41:50 | fn=TTI | prompt="horse on a river" | seed=1234 | cfg=10
ts=20:41:50 | fn=TTI | prompt="camel on a mountain" | seed=1234 | cfg=10
ts=20:41:56 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=13
ts=20:41:56 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=13
ts=20:41:56 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=13
ts=20:41:56 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=13
ts=20:41:56 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=13
ts=20:41:57 | fn=TTI | prompt="giraffe on a desert" | seed=1234 | cfg=10
ts=20:41:57 | fn=TTI | prompt="giraffe on a mountain" | seed=1234 | cfg=10
ts=20:41:57 | fn=TTI | prompt="giraffe on a valley" | seed=1234 | cfg=10
ts=20:41:57 | fn=TTI | prompt="giraffe on a ocean" | seed=1234 | cfg=10
ts=20:41:58 | fn=TTI | prompt="giraffe on a river" | seed=1234 | cfg=10
ts=20:51:01 | fn=TTI | prompt="horse" | seed=1234 | cfg=10
ts=20:52:06 | fn=TTI | prompt="View out of the observation deck of the needle tower. Framed by steel bars of the large window pane." | seed=1234 | cfg=13
ts=20:52:51 | fn=TTI | prompt="View out of the observation deck of the needle tower. Framed by steel bars of the large window pane." | seed=1234 | cfg=13
