ts=14:47:07 | fn=TTI | prompt="dog running on a beach" | seed=3333 | cfg=1
ts=14:47:30 | fn=TTI | prompt="dog running on a beach" | seed=2222 | cfg=21
ts=14:56:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:03 | fn=GPT_LIST | prompt="types of animals, 3 of them" | length=5
ts=14:56:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:04 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:04 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:04 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="dog on a desert" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="dog on a mountain" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="dog on a ocean" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="cat on a ocean" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="dog on a island" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="frog on a mountain" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="frog on a valley" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="cat on a desert" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="cat on a mountain" | seed=1234 | cfg=13
ts=14:56:06 | fn=TTI | prompt="cat on a island" | seed=1234 | cfg=13
ts=14:56:11 | fn=TTI | prompt="dog on a valley" | seed=1234 | cfg=13
ts=14:56:11 | fn=TTI | prompt="cat on a valley" | seed=1234 | cfg=13
ts=14:56:11 | fn=TTI | prompt="frog on a island" | seed=1234 | cfg=13
ts=14:56:11 | fn=TTI | prompt="frog on a ocean" | seed=1234 | cfg=13
ts=14:56:11 | fn=TTI | prompt="frog on a desert" | seed=1234 | cfg=13
ts=14:56:28 | fn=GPT_LIST | prompt="types of animals, 3 of them" | length=5
ts=14:56:28 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:28 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:56:29 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:56:29 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:29 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="dog on a desert" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="frog on a valley" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="cat on a mountain" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="frog on a mountain" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="cat on a ocean" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="dog on a island" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="dog on a ocean" | seed=1234 | cfg=13
ts=14:56:30 | fn=TTI | prompt="dog on a mountain" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="cat on a desert" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="cat on a island" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="dog on a valley" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="frog on a ocean" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="frog on a island" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="cat on a valley" | seed=1234 | cfg=13
ts=14:56:31 | fn=TTI | prompt="frog on a desert" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:51 | fn=GPT_LIST | prompt="types of animals, example: 3 cats" | length=5
ts=14:56:51 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:56:51 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:52 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:56:52 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:56:52 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:56:52 | fn=TTI | prompt="cat on a desert" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a ocean" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a mountain" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="dog on a valley" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="parrot on a island" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a valley" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a mountain" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a island" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a ocean" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="dog on a ocean" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="parrot on a ocean" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="parrot on a desert" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a island" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a valley" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a ocean" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a valley" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="dog on a desert" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a desert" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="parrot on a valley" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="dog on a mountain" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="cat on a mountain" | seed=1234 | cfg=13
ts=14:56:53 | fn=TTI | prompt="dog on a island" | seed=1234 | cfg=13
ts=14:56:54 | fn=TTI | prompt="parrot on a mountain" | seed=1234 | cfg=13
ts=14:56:54 | fn=TTI | prompt="cat on a island" | seed=1234 | cfg=13
ts=14:56:54 | fn=TTI | prompt="cat on a desert" | seed=1234 | cfg=13
ts=14:57:02 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:57:02 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:57:02 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:57:03 | fn=GPT_LIST | prompt="types of animals plural" | length=5
ts=14:57:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a island" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a valley" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a ocean" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a desert" | seed=1234 | cfg=13
ts=14:57:03 | fn=TTI | prompt=" on a mountain" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="frogs on a ocean" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="dogs on a mountain" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="cats on a desert" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="horses on a island" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="frogs on a desert" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="cats on a ocean" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="deer on a valley" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="horses on a desert" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="deer on a ocean" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="dogs on a valley" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="frogs on a island" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="horses on a valley" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="cats on a island" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="dogs on a island" | seed=1234 | cfg=13
ts=14:57:04 | fn=TTI | prompt="cats on a valley" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="dogs on a desert" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="frogs on a valley" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="dogs on a ocean" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="deer on a desert" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="deer on a island" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="cats on a mountain" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="deer on a mountain" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="horses on a mountain" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="horses on a ocean" | seed=1234 | cfg=13
ts=14:57:05 | fn=TTI | prompt="frogs on a mountain" | seed=1234 | cfg=13
ts=15:08:41 | fn=TTI | prompt="dog running on a beach" | seed=1234 | cfg=10
ts=15:08:41 | fn=TTI | prompt="dog running on a beach" | seed=2222 | cfg=10
ts=15:08:41 | fn=TTI | prompt="dog running on a beach" | seed=1111 | cfg=10
ts=15:08:41 | fn=TTI | prompt="dog running on a beach" | seed=3333 | cfg=10
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=1111 | cfg=30
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=3333 | cfg=20
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=1234 | cfg=20
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=2222 | cfg=30
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=2222 | cfg=20
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=1111 | cfg=20
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=3333 | cfg=30
ts=15:08:49 | fn=TTI | prompt="dog running on a beach" | seed=1234 | cfg=30
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1111 | cfg=20
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1111 | cfg=10
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1111 | cfg=1
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=3333 | cfg=30
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1234 | cfg=13
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1234 | cfg=1
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=2222 | cfg=1
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1234 | cfg=10
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=2222 | cfg=10
ts=15:09:04 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=3333 | cfg=20
ts=15:09:09 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=2222 | cfg=30
ts=15:09:09 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=2222 | cfg=20
ts=15:09:09 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=3333 | cfg=1
ts=15:09:09 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=3333 | cfg=10
ts=15:09:10 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1234 | cfg=30
ts=15:09:10 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1111 | cfg=30
ts=15:09:10 | fn=TTI | prompt="Aliens Coming out of the spaceship" | seed=1234 | cfg=20
ts=15:09:37 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1234 | cfg=20
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1234 | cfg=30
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=3333 | cfg=20
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1234 | cfg=13
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1111 | cfg=10
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=2222 | cfg=10
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1234 | cfg=10
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=3333 | cfg=30
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1111 | cfg=20
ts=15:09:38 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=3333 | cfg=1
ts=15:09:44 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1111 | cfg=1
ts=15:09:44 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1111 | cfg=30
ts=15:09:45 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=3333 | cfg=10
ts=15:09:45 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=2222 | cfg=30
ts=15:09:45 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=1234 | cfg=1
ts=15:09:46 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=2222 | cfg=20
ts=15:09:46 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky" | seed=2222 | cfg=1
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=30
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=20
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=1
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=20
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=10
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=10
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=10
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=20
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=1
ts=15:10:13 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=30
ts=15:10:20 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=30
ts=15:10:20 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=30
ts=15:10:21 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=13
ts=15:10:21 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=20
ts=15:10:22 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=10
ts=15:10:22 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=1
ts=15:10:23 | fn=TTI | prompt="Aliens Coming out of the spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=1
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=30
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=30
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=1
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=30
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=13
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=10
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=20
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=30
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=1
ts=15:11:02 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=1
ts=15:11:06 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=20
ts=15:11:06 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=10
ts=15:11:07 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=20
ts=15:11:07 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=3333 | cfg=10
ts=15:11:07 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1234 | cfg=10
ts=15:11:07 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=2222 | cfg=20
ts=15:11:07 | fn=TTI | prompt="A spaceship in a dysoptian world, with  grey-brow hazy sky, with a view of space needle in seattle" | seed=1111 | cfg=1
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=3333 | cfg=30
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=3333 | cfg=1
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1111 | cfg=20
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=2222 | cfg=1
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1234 | cfg=10
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1111 | cfg=10
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=3333 | cfg=20
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1111 | cfg=30
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=2222 | cfg=20
ts=15:11:39 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=3333 | cfg=10
ts=15:11:45 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1234 | cfg=13
ts=15:11:45 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1234 | cfg=1
ts=15:11:45 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1234 | cfg=30
ts=15:11:45 | fn=TTI | prompt="A star-wars like spaceship in a dysoptian world, with  grey-brown hazy sky, with a view of space needle in seattle, not cartoonish" | seed=1234 | cfg=20
